X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,Y
11,549,6008,7,0,2000,0,NaN,0,4732,744,11,2,149,4,11,9,4732,14,1293,80,24,NaN,1,6,NaN,29,95,3,54,0,59,1798,4,0,0,0,45,NaN,24753,75,40,8,1,19,4,0,151800,0,20,0,2572,15,77,1,0,76,6,140010,11,1,1448,661,5524,8,661,1001,108,1840,6,0,0,1
3,564,1192,2,0,4990,0,NaN,0,12910,563,21,0,173,3,16,21,12910,8,1127,90,NaN,NaN,NaN,17,NaN,56,10,0,15,0,65,1396,NaN,0,0,0,39,NaN,9826,35,35,2,2,203,2,0,166700,NaN,42,0,2564,8,186,0,0,59,2,63324,116,1,12152,202,2216,87,202,198,56,66,6,0,0,1
NaN,604,16,0,0,49900,0,NaN,0,14510,534,NaN,3,NaN,5,NaN,NaN,14510,0,1138,NaN,0,NaN,0,NaN,NaN,NaN,42,0,NaN,0,6,28604,0,0,0,0,NaN,NaN,19507,NaN,176,0,NaN,119,2,0,150000,15,8,0,25000,0,1,0,0,59,0,93327,57,0,7134,631,33024,62,264,2,82,517,6,0,0,0
11,2517,6062,10,0,10000,0,NaN,0,8790,1701,20,2,159,2,8,20,8790,28,4218,92,26,NaN,41,44,NaN,83,100,1,450,0,45,2524,3,0,0,0,450,NaN,18325,375,53,16,2,131,5,0,116000,4,7,0,2577,66,117,0,0,44,7,270430,62,0,5801,912,6785,69,912,1010,64,10017,6,0,0,0
9,653,207,24,0,5000,0,NaN,8,0,706,16,1,181,4,12,18,9640,25,1359,90,NaN,NaN,NaN,22,NaN,NaN,71,16,60,0,16,4357,NaN,0,0,14,28,NaN,10455,67,48,58,1,253,4,8,111000,NaN,48,0,6937,62,88,1,0,103,21,144905,111,0,26149,116,3710,142,116,41,106,35,6,0,0,1
4,1204,2804,1,0,1000,0,NaN,0,12950,1529,27,2,171,NaN,13,27,12950,14,2733,88,NaN,NaN,NaN,39,NaN,73,77,0,88,0,49,7588,NaN,0,0,0,89,NaN,13000,95,32,1,2,371,2,0,168000,NaN,27,0,3428,19,343,1,0,58,1,169391,220,1,21748,207,94406,151,207,467,61,207,6,0,0,0
0,768,2882,1,0,6,0,NaN,1,11840,1396,9,2,170,4,12,9,11840,5,2164,90,NaN,NaN,NaN,37,NaN,80,73,1,71,0,62,100,NaN,0,0,1,105,NaN,18731,66,40,7,2,195,5,1,110300,NaN,7,0,1779,18,413,1,0,45,1,126036,124,1,8793,779,1310,71,779,480,58,1430,6,0,0,0
10,701,113,10,0,NaN,0,NaN,0,4740,729,14,2,144,NaN,9,14,4200,16,1430,84,49,NaN,30,31,NaN,45,83,5,57,0,0,NaN,23,0,0,0,32,NaN,4566,150,13,26,2,376,3,0,NaN,6,38,0,NaN,38,47,1,0,64,8,110302,129,0,24129,195,588,247,195,18,77,83,6,0,0,1
6,986,1473,15,0,10000,0,NaN,5,11376,1633,10,2,173,4,14,10,11376,16,2619,91,21,NaN,30,54,NaN,65,100,9,182,0,12,1287,8,0,0,5,125,NaN,16375,116,115,60,1,317,4,8,91000,NaN,24,0,7583,71,265,1,0,95,14,318125,172,1,30405,346,4342,145,346,245,121,648,6,0,0,0
3,560,4734,5,0,-5000,0,NaN,1,24790,374,20,2,149,5,8,20,24790,8,934,85,NaN,NaN,NaN,6,NaN,69,100,1,111,0,31,7075,NaN,0,0,1,112,NaN,25638,99,78,6,1,13,6,1,122000,NaN,37,0,3935,12,74,0,0,62,1,41377,5,0,811,199,-19462,8,199,789,44,634,6,0,0,0
2,589,121,7,0,1996,0,NaN,1,4460,130,27,0,122,3,19,27,4460,8,719,85,NaN,NaN,NaN,6,NaN,59,19,4,33,0,13,3588,NaN,0,0,1,38,NaN,11008,40,41,10,1,18,3,1,57000,NaN,47,0,4384,11,1,0,0,112,7,292019,4,0,2018,240,286,14,240,20,406,53,6,0,0,0
0,826,124,16,6291456,23440,0,NaN,2,7840,254,18,2,155,4,11,18,0,18,1080,90,37,NaN,15,35,NaN,100,100,8,185,0,10,8636,17,60000,0,2,50,NaN,20850,155,53,21,2,183,7,2,201237,NaN,40,0,20123,24,46,0,50000,76,14,71077,33,0,14049,160,5840,150,160,20,65,214,6,0,5242880,0
5,655,687,6,0,5000,0,NaN,2,0,346,18,2,113,3,NaN,18,0,11,1004,38,NaN,NaN,NaN,30,NaN,NaN,99,4,NaN,0,38,1101,NaN,0,0,2,53,NaN,20778,70,44,9,0,185,5,2,155225,NaN,28,0,4084,20,322,0,0,104,4,113866,66,0,19279,521,2345,117,521,171,113,33,6,0,0,0
8,256,823,4,0,5000,0,NaN,0,5823,652,16,0,148,3,7,10,5823,24,908,78,NaN,NaN,NaN,8,NaN,20,30,1,17,0,32,416,NaN,0,0,0,5,NaN,22332,22,24,5,0,38,6,0,142000,NaN,1,0,4437,48,17,2,0,117,3,110424,23,1,4463,328,-1520,15,328,137,121,266,6,0,0,1
2,1337,51,2,6291456,10000,0,120000,1,61799,1412,18,2,160,NaN,9,18,0,3,2749,92,2,6291456,2,33,3162018,59,100,2,32,36000,45,100410,0,120000,25130,1,63,33660,64793,61,42,6,1,226,6,1,921716,NaN,16,2090821,20482,11,2,1,100000,73,2,213309,117,1,16606,844,0,109,844,8,77,677,6,3162018,5242880,0
4,600,292,21,0,5000,0,NaN,1,0,50,18,2,139,2,14,18,0,30,650,76,48,NaN,8,2,NaN,35,100,12,171,0,15,2584,22,0,0,2,59,NaN,3743,142,89,32,0,8,6,1,51000,4,30,0,3400,57,28,0,0,86,20,32660,6,3,691,735,3641,2,735,48,50,1068,6,0,0,0
7,5112,699,17,0,5000,0,NaN,2,10,1803,12,2,155,4,12,12,10,25,6915,92,56,NaN,263,49,NaN,75,100,7,605,0,32,9551,26,0,0,3,375,NaN,22757,564,167,53,3,71,3,4,155800,4,7,0,4868,105,5,0,0,53,8,473695,13,0,3829,846,6606,58,846,116,68,7303,6,0,0,0
8,826,224,NaN,NaN,5000,NaN,NaN,NaN,0,532,9,3,163,2,NaN,9,6679,NaN,1358,87,NaN,NaN,NaN,27,NaN,NaN,79,NaN,NaN,NaN,8,500,NaN,NaN,NaN,NaN,51,NaN,0,55,9,NaN,1,140,4,NaN,45000,NaN,NaN,NaN,5625,NaN,75,0,NaN,72,NaN,90708,57,0,10105,NaN,8814,83,NaN,37,66,NaN,5,NaN,NaN,0
4,1210,57,6,0,3000,0,NaN,2,10030,1410,22,3,156,NaN,14,22,3097,8,2620,89,63,NaN,21,18,NaN,70,100,5,51,0,5,1521,47,0,0,4,52,NaN,10100,83,21,8,2,60,6,2,24000,9,52,0,4800,11,11,1,0,40,6,117314,28,0,2425,216,0,32,216,11,44,10,5,0,0,1
6,2029,1522,40,0,3000,0,NaN,11,0,1650,18,3,122,5,16,18,2700,42,3679,38,NaN,NaN,NaN,94,NaN,NaN,100,31,1,0,22,1515,NaN,0,0,18,124,NaN,20566,139,79,77,0,135,6,13,146000,NaN,10,0,6636,89,16,0,0,53,36,197248,55,0,7201,720,2008,80,720,253,53,118,6,0,0,1
4,2141,123,22,NaN,10000,0,NaN,6,19800,1494,16,3,178,5,18,16,19800,33,3635,92,72,NaN,263,91,NaN,90,100,9,406,NaN,11,818,22,NaN,NaN,6,153,NaN,19800,367,54,53,2,869,4,8,120000,11,7,NaN,10909,71,20,0,NaN,67,15,218053,302,0,59019,1002,-13430,567,1002,20,59,5674,5,NaN,NaN,0
3,381,1356,23,0,2500,0,NaN,0,4567,203,20,3,150,NaN,NaN,10,4567,23,584,85,NaN,NaN,NaN,13,NaN,NaN,100,15,NaN,0,24,12,NaN,0,0,0,30,NaN,6828,48,26,28,2,166,4,0,43000,NaN,61,0,1791,28,245,0,0,56,21,31726,54,0,9413,68,1877,112,68,226,54,53,6,0,0,1
4,2190,318,5,0,20,0,NaN,1,23430,1001,12,2,182,NaN,10,15,23430,15,3191,92,41,NaN,17,110,NaN,63,100,4,516,0,24,7345,39,0,0,1,94,NaN,30327,259,47,5,2,687,3,1,175000,NaN,15,0,7291,27,64,0,0,68,5,284581,197,0,47203,349,NaN,490,349,53,89,1408,6,0,0,0
9,1374,1745,12,NaN,0,0,NaN,2,20331,1958,5,2,173,5,8,5,12280,19,3332,89,27,NaN,169,57,0,40,90,5,169,0,1,237,20,NaN,0,2,89,0,16631,134,72,36,1,408,1,2,0,NaN,16,0,0,55,566,1,NaN,62,6,272487,245,1,25547,783,0,163,783,290,81,2032,5,0,NaN,1
9,1156,104,12,0,10000,0,NaN,0,29300,533,4,2,176,3,12,14,29300,16,1689,88,4,NaN,64,56,NaN,100,100,3,222,0,12,5334,3,0,0,1,129,NaN,29883,145,95,14,1,279,5,0,121000,NaN,12,0,10083,20,6,0,0,102,7,192466,67,0,28730,724,6172,212,724,17,113,1272,6,0,0,0
11,936,159,4,0,20,0,NaN,1,8358,630,13,0,159,3,15,13,8358,8,1566,91,NaN,NaN,NaN,8,NaN,69,29,2,61,0,17,2232,NaN,0,0,1,87,NaN,17911,50,102,4,2,163,4,1,101660,NaN,22,0,5980,11,17,0,0,49,3,64538,59,0,7995,561,0,104,561,26,41,33,6,0,0,1
3,2137,356,1,0,2994,0,NaN,0,13905,3022,15,0,166,NaN,12,15,15350,2,5159,90,2,NaN,0,50,NaN,62,14,1,25,0,83,2901,2,0,0,0,100,NaN,28435,81,66,1,2,410,3,0,212000,NaN,40,0,2554,2,37,1,0,87,1,437073,211,1,35981,99,892,199,99,59,84,58,6,0,0,1
6,1521,765,16,0,20000,0,NaN,7,1248,1519,15,2,155,NaN,11,15,1248,22,3040,92,9,NaN,19,20,NaN,69,84,14,197,0,22,10722,7,0,0,14,107,NaN,25954,187,43,26,2,45,2,7,162100,11,9,0,7368,38,2,0,0,73,14,293342,17,0,3297,769,NaN,28,769,127,96,731,6,0,0,0
0,888,65,34,NaN,24000,0,NaN,16,0,993,27,2,174,4,14,27,7600,35,1881,92,NaN,NaN,NaN,37,NaN,NaN,100,29,37,NaN,14,748,NaN,NaN,NaN,16,78,NaN,0,60,99,66,2,162,6,17,58000,NaN,29,NaN,4142,70,6,1,NaN,52,32,96347,85,1,8508,870,847,77,870,10,51,28,5,NaN,NaN,1
3,679,13,14,0,4990,0,NaN,0,0,307,14,2,83,1,13,14,9231,17,986,25,53,NaN,13,45,NaN,63,90,6,61,0,19,0,22,0,0,2,51,NaN,6531,132,36,21,1,91,3,0,47000,6,9,0,2473,32,1,0,0,44,13,60795,17,0,4072,200,5579,74,200,2,61,1348,6,0,0,1
NaN,931,638,NaN,0,10,NaN,NaN,NaN,20056,1395,16,2,170,NaN,NaN,16,20056,NaN,2326,84,NaN,NaN,NaN,32,NaN,NaN,45,NaN,NaN,0,81,2901,NaN,0,0,NaN,45,NaN,14711,45,52,NaN,2,439,2,NaN,224550,NaN,NaN,0,2772,NaN,267,1,0,41,NaN,92471,296,2,18211,NaN,-5220,143,NaN,106,39,NaN,6,0,0,1
8,350,65,2,0,2000,0,NaN,0,3949,394,9,4,128,NaN,15,9,NaN,4,744,53,5,NaN,49,6,NaN,38,100,2,62,0,13,1217,3,0,0,0,23,NaN,9535,81,NaN,4,0,19,5,0,26500,6,13,0,2038,7,3,1,0,270,2,104758,13,2,5143,626,NaN,6,626,10,140,1036,6,0,0,0
NaN,266,207,16,0,2955,0,NaN,0,18749,168,NaN,0,NaN,4,NaN,NaN,18759,17,446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,1,NaN,0,60,10012,NaN,0,0,1,NaN,NaN,15269,NaN,78,28,NaN,47,3,0,92901,NaN,61,0,1548,29,36,0,0,135,6,49931,23,0,6345,95,3856,24,95,34,111,15,6,0,0,0
0,1124,2792,5,0,2994,0,NaN,0,20600,1496,21,2,171,5,13,21,20600,8,2620,88,8,NaN,63,80,NaN,39,100,4,123,0,28,8974,8,0,0,2,172,NaN,24871,136,149,11,2,346,2,0,181068,NaN,7,0,6466,22,455,1,0,99,5,298388,181,1,34426,868,1848,165,868,465,113,6345,6,0,0,0
9,1730,666,5,NaN,10000,0,NaN,4,5890,1252,20,3,157,4,14,20,12750,5,2982,88,13,NaN,0,38,NaN,63,78,5,56,NaN,9,873,13,NaN,NaN,4,161,NaN,9355,141,50,5,1,97,2,4,81500,2,17,NaN,9055,5,58,0,NaN,102,5,219917,29,0,9933,30,48104,68,30,111,73,579,5,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
11,0,363,4,NaN,1000,0,NaN,2,10665,0,20,2,0,1,NaN,18,6220,5,0,0,13,NaN,0,NaN,NaN,35,73,3,0,NaN,18,816,10,NaN,NaN,2,NaN,NaN,10278,NaN,45,8,NaN,NaN,5,2,59000,NaN,11,NaN,3277,10,63,NaN,NaN,NaN,4,0,NaN,NaN,NaN,323,3550,NaN,323,60,NaN,648,5,NaN,NaN,1
2,830,43,5,NaN,2000,0,NaN,0,4600,680,6,2,176,1,8,6,9222,5,1511,91,11,NaN,0,21,NaN,66,100,5,31,NaN,14,782,7,NaN,NaN,1,52,NaN,5750,62,14,5,2,465,5,0,36000,NaN,98,NaN,2571,5,18,0,NaN,74,5,95685,185,0,34453,21,211,279,348,8,63,0,5,NaN,NaN,1
10,1189,44,3,0,10000,0,NaN,0,0,835,14,2,155,4,12,14,0,5,2024,92,7,NaN,32,6,NaN,93,20,1,260,0,11,1924,7,0,0,0,152,NaN,8573,134,173,5,1,11,1,0,42200,2,12,0,3836,7,8,0,0,30,3,139235,2,0,330,773,526,9,773,8,68,993,6,0,0,0
8,2824,1626,20,0,5000,0,NaN,6,0,1076,18,2,166,5,12,18,2240,24,3900,92,31,NaN,129,6,NaN,42,95,14,245,0,25,16,13,0,0,12,89,NaN,18874,167,212,68,1,388,1,8,107800,21,14,0,4312,96,152,0,0,88,20,297586,132,0,34151,646,-2240,256,646,271,76,435,6,0,0,0
7,1500,6643,3,0,20,0,NaN,0,5960,877,21,0,170,3,19,9,5960,4,2377,92,NaN,NaN,NaN,54,NaN,NaN,26,0,127,0,23,2845,NaN,0,0,0,133,NaN,18349,114,53,4,1,162,5,0,109400,NaN,22,0,4756,6,555,0,0,75,1,154458,60,0,12198,144,4394,102,144,1107,64,195,6,0,0,0
10,977,1378,12,0,2500,0,NaN,3,11362,244,10,2,167,3,13,10,11362,14,1221,89,27,NaN,27,49,NaN,90,72,7,174,0,26,2800,6,0,0,5,113,NaN,20492,175,89,36,2,156,3,4,136000,2,15,0,5230,43,104,0,0,36,11,56754,26,0,5656,1141,4638,130,1141,229,46,3974,6,0,0,0
9,1622,111,19,NaN,5000,0,NaN,3,0,944,7,0,155,5,12,7,57190,22,3453,63,NaN,NaN,NaN,12,NaN,NaN,48,8,258,NaN,49,758,NaN,NaN,NaN,5,57,NaN,0,179,84,40,0,926,7,3,275000,NaN,9,NaN,5612,94,35,0,NaN,3,14,318251,21,1,3406,850,7168,19,850,18,92,536,5,NaN,NaN,0
6,1249,72,NaN,0,20000,NaN,NaN,NaN,22319,1430,13,2,172,2,NaN,13,20589,NaN,2679,91,NaN,NaN,NaN,26,NaN,NaN,58,NaN,NaN,0,60,1749,NaN,0,0,NaN,80,NaN,27613,77,17,NaN,2,280,2,NaN,176000,NaN,NaN,0,2933,NaN,6,1,0,86,NaN,191382,123,0,24143,NaN,11554,157,NaN,12,71,NaN,6,0,0,0
